region,working_age,purchasegroup,chargeoffamt,chargeoffamt_present,judgment_active,acct_post_judgment,judgment_amount,judgment_amount_present,days_between_chargeoff_and_judgment,agency_ever,legal_ever,wage_garnishable_state,bank_account_found,FT_job_found,PT_job_found,verification_completed,contains_judgment_image,days_between_chargeoff_and_min_pay_date,days_between_judgment_and_min_pay_date,avg_days_between_payments,avg_monthly_payment(duration>=365days),avg_pay_to_chargeoff_ratio,avg_pay_to_judgment_ratio,closed_w_max_pmt_within_5_yrs_of_min_pmt
west,1,Dormant Judgment,,0,0,1,2878.66,1,600.0,1,0,1,0,0,0,0,1,2154.0,1554.0,0.0,,,0.30031565613862005,1
west,1,Dormant Judgment,,0,0,1,1549.43,1,1120.0,1,0,1,0,0,0,1,0,2068.0,948.0,30.5,,,0.08067482880801327,1
midwest,1,Dormant Judgment,,0,0,1,1674.91,1,1832.0,1,1,1,0,0,0,1,1,6946.0,5114.0,103.8571,106.2836627,,0.21682359052128175,1
southeast,0,Dormant Judgment,,0,1,1,1639.44,1,534.0,1,0,1,0,0,0,1,1,1040.0,506.0,47.4,,,0.030498218904016005,0
midwest,1,Dormant Judgment,,0,0,1,2881.63,1,990.0,1,1,1,0,1,0,1,1,2106.0,1116.0,187.0,38.35630157,,0.08199699475643993,0
midwest,1,Dormant Judgment,,0,0,1,3545.59,1,533.0,1,0,1,0,0,0,1,1,636.0,103.0,0.0,,,0.048620962942697826,0
midwest,1,Dormant Judgment,,0,0,1,5010.4,1,866.0,0,1,1,0,1,0,1,0,6480.0,5614.0,9.0357,,,0.05596145730879771,1
northeast,1,Dormant Judgment,,0,1,1,1526.62,1,1201.0,1,1,1,1,0,1,1,0,2129.0,928.0,936.4,12.27300693,,0.24738441786430154,0
northeast,1,Dormant Judgment,,0,1,1,3182.42,1,1410.0,1,1,1,0,0,0,1,1,1830.0,420.0,29.12,54.51229123,,0.016410530351116445,0
midwest,1,Dormant Judgment,2853.47,1,0,1,3015.47,1,1587.0,1,1,1,1,0,0,0,1,4004.0,2417.0,0.0,,0.7009010082461005,0.663246525417265,1
southeast,1,Dormant Judgment,,0,1,1,2245.1,1,1704.0,1,1,1,0,0,0,0,1,3762.0,2058.0,17.1,,,0.08874682642198566,1
southeast,1,Dormant Judgment,1967.08,1,0,1,1967.08,1,204.0,1,1,1,1,0,0,0,1,3948.0,3744.0,0.0,,2.367565121906582,2.367565121906582,1
southeast,1,Dormant Judgment,3400.3,1,0,1,3557.8,1,583.0,1,1,1,0,0,1,1,1,6563.0,5980.0,0.0,,0.5881833955827427,0.5621451458766653,1
southeast,1,Dormant Judgment,,0,1,1,2612.49,1,1159.0,1,0,1,0,0,0,1,1,4050.0,2891.0,0.0,,,0.02004983751133976,0
southeast,1,Dormant Judgment,,0,1,1,1971.68,1,1142.0,0,1,1,0,1,0,1,1,5356.0,4214.0,13.6818,,,0.10520907875517325,1
midwest,1,Dormant Judgment,,0,0,0,600.0,1,1149.0,0,1,1,0,1,0,0,1,1716.0,567.0,927.3333,7.633588661,,0.3876944445,0
northeast,1,Dormant Judgment,1279.28,1,0,1,1528.14,1,764.0,1,1,1,1,1,0,0,0,3710.0,2946.0,283.7273,19.54753443,0.14248355606278532,0.11927988508906251,0
northeast,1,Dormant Judgment,,0,1,1,1359.47,1,918.0,0,1,1,0,1,0,1,0,5580.0,4662.0,22.5,,,0.3143063105474928,1
northeast,1,Dormant Judgment,,0,1,1,4757.12,1,1289.0,1,0,1,0,0,0,1,0,2111.0,822.0,0.0,,,0.04068638167630836,0
northeast,1,Dormant Judgment,,0,1,1,1142.79,1,1785.0,1,0,1,0,0,0,1,0,5994.0,4209.0,0.0,,,0.09928333289580762,0
southeast,1,Dormant Judgment,,0,1,1,22802.69,1,2503.0,1,1,1,0,0,0,0,1,3351.0,848.0,6.9359,396.583566,,0.00396506300616287,0
northeast,1,Dormant Judgment,,0,1,1,1816.85,1,843.0,1,1,1,1,0,0,0,1,2146.0,1303.0,0.0,,,0.649151003109778,1
northeast,1,Dormant Judgment,608.99,1,1,1,1239.18,1,706.0,1,1,1,0,0,0,0,1,1873.0,1167.0,28.0,,0.5611955861344192,0.2757973014412757,1
northeast,1,Dormant Judgment,7947.94,1,1,1,9420.6,1,860.0,1,1,1,0,0,0,0,1,3726.0,2866.0,0.0,,0.4089109882560764,0.3449886419124047,1
west,1,Dormant Judgment,1936.29,1,0,1,2675.19,1,966.0,1,1,1,0,0,0,0,1,2751.0,1785.0,9.7619,,0.0996480997164681,0.07212482814304778,1
northeast,1,Dormant Judgment,,0,1,1,1046.41,1,838.0,1,1,1,1,1,0,0,1,2609.0,1771.0,37.25,,,0.13570445618830093,1
southwest,1,Dormant Judgment,,0,0,1,14240.06,1,591.0,1,1,1,0,0,0,1,1,2418.0,1827.0,17.7407,490.1512675,,0.020076607739012334,1
northeast,1,Dormant Judgment,910.79,1,1,1,1233.11,1,1011.0,1,1,1,0,1,0,0,1,3442.0,2431.0,0.0,,1.8884704487313213,1.394847175028992,1
southwest,1,Dormant Judgment,2113.92,1,0,1,2521.36,1,1327.0,1,0,0,0,0,0,0,1,3101.0,1774.0,20.3333,,0.2561875567665758,0.21478884411587393,1
southeast,1,Dormant Judgment,1373.58,1,1,1,1867.63,1,1445.0,1,1,1,0,0,0,0,1,2808.0,1363.0,17.3077,,0.14088619628998675,0.10361713053442062,1
southeast,1,Dormant Judgment,,0,1,1,2774.81,1,712.0,1,1,1,0,0,0,0,1,2048.0,1336.0,36.8182,270.7873435,,0.11833865118692811,1
southwest,1,Dormant Judgment,2902.67,1,0,1,4367.54,1,1468.0,1,0,0,0,0,0,0,1,3404.0,1936.0,6.6667,,0.3244139591135058,0.2156057338227011,1
northeast,1,Dormant Judgment,697.82,1,1,1,1152.82,1,161.0,1,1,1,0,1,0,1,1,3613.0,3452.0,5.7179,,0.08473458367487317,0.05129117050363457,1
west,0,Dormant Judgment,7976.73,1,0,1,11635.87,1,1366.0,1,1,1,0,0,0,0,1,2388.0,1022.0,414.3333,396.2253917,0.6767288516723018,0.46391746667846917,1
west,1,Dormant Judgment,,0,0,1,1915.91,1,715.0,0,1,1,0,0,0,0,1,3199.0,2484.0,26.3333,,,0.2845714742863705,1
west,1,Dormant Judgment,998.17,1,0,1,2116.96,1,718.0,0,1,1,0,0,0,0,1,3092.0,2374.0,0.0,,1.025927447228428,0.4837361121608344,1
west,1,Dormant Judgment,1588.47,1,0,1,3335.0,1,1955.0,1,1,1,0,1,0,1,1,3551.0,1596.0,542.5,77.22193561,0.8668813386466223,0.41289805097451276,0
west,0,Dormant Judgment,2157.13,1,0,1,2855.82,1,990.0,0,1,1,0,0,0,0,1,2439.0,1449.0,0.0,,1.796609383764539,1.3570603189276633,1
northeast,1,Dormant Judgment,1761.3,1,1,1,1961.19,1,1064.0,1,0,1,1,0,0,0,1,2983.0,1919.0,28.5,119.5386528,0.06367424311588031,0.05718438519470321,1
southwest,1,Dormant Judgment,3475.95,1,0,1,3510.9,1,834.0,1,1,1,1,1,0,1,1,2453.0,1619.0,60.0909,135.8352927,0.07721015446137028,0.07644154957418325,1
northeast,1,Dormant Judgment,6181.85,1,0,0,6419.98,1,1673.0,1,1,0,0,0,0,1,0,2870.0,1197.0,42.6591,105.7770027,0.023994619151224954,0.02310461035704161,0
west,1,Dormant Judgment,4000.25,1,0,1,8899.42,1,3862.0,0,1,1,0,0,0,1,1,6245.0,2383.0,0.0,,2.2247159552527966,1.0,1
southwest,1,Dormant Judgment,2036.21,1,0,1,3121.69,1,1541.0,1,0,0,0,0,0,1,1,2347.0,806.0,36.8667,149.7082853,0.08921542144474293,0.05819326496224801,1
midwest,1,Dormant Judgment,5209.73,1,1,1,5209.73,1,531.0,1,1,1,1,0,0,0,0,1929.0,1398.0,119.5,,0.14463321515702351,0.14463321515702351,1
northeast,1,Dormant Judgment,3698.29,1,1,1,4332.21,1,969.0,1,1,1,0,0,0,0,1,2937.0,1968.0,13.9524,,0.06259340706110121,0.053434291366300346,1
southwest,1,Dormant Judgment,2883.21,1,0,1,4207.42,1,1183.0,1,0,0,0,0,0,0,1,2749.0,1566.0,0.0,,0.5202534674893609,0.3565130174786449,1
southwest,1,Dormant Judgment,1631.91,1,0,1,3462.16,1,1263.0,1,0,0,0,0,0,0,1,2601.0,1338.0,4.5,,0.7659736137409539,0.36104628324514176,1
northeast,1,Dormant Judgment,811.35,1,1,1,949.97,1,1310.0,1,1,1,0,1,0,0,1,3098.0,1788.0,86.75,,0.35636901460528747,0.3043675063423055,1
west,1,Dormant Judgment,,0,0,1,3407.84,1,1008.0,1,1,1,0,0,0,1,1,2121.0,1113.0,46.1818,254.5717193,,0.11356753838208365,1
midwest,1,Dormant Judgment,,0,1,1,1311.23,1,1100.0,1,1,1,0,0,0,0,1,3306.0,2206.0,3.3333,,,0.4094832079040291,1
northeast,1,Dormant Judgment,,0,1,1,14335.56,1,2517.0,0,1,1,0,1,0,1,1,3812.0,1295.0,28.0,,,0.01739165869348669,0
northeast,1,Dormant Judgment,1430.13,1,1,1,1430.13,1,1205.0,1,1,0,0,0,0,0,1,1971.0,766.0,0.0,,1.0015523064336807,1.0015523064336807,1
southwest,1,Dormant Judgment,,0,0,1,4765.29,1,657.0,1,1,0,0,0,0,1,1,3338.0,2681.0,0.0,,,0.6171334798092036,1
southeast,1,Dormant Judgment,2140.24,1,0,1,1389.46,1,890.0,1,0,1,0,0,0,0,1,3334.0,2444.0,10.3333,,0.20252868837139762,0.3119629208469477,1
west,1,Dormant Judgment,3426.85,1,0,1,4138.03,1,396.0,1,1,1,0,1,0,0,1,4238.0,3842.0,0.0,,1.254796679165998,1.0391418138582853,1
southeast,1,Dormant Judgment,5847.34,1,1,1,6510.64,1,1288.0,1,1,1,0,1,0,1,1,4756.0,3468.0,6.9098,501.9288496,0.019510328559652765,0.017522628282319402,1
west,1,Dormant Judgment,14242.38,1,0,1,18272.58,1,735.0,1,1,1,0,0,0,1,1,2547.0,1812.0,476.0,310.0958608,0.3408587609655128,0.265678957213486,1
west,1,Dormant Judgment,3382.94,1,0,1,7000.45,1,1341.0,0,1,1,0,1,0,1,1,2105.0,764.0,22.2381,546.431949,0.11826779579300845,0.057152448356891344,1
southwest,1,Dormant Judgment,,0,0,1,3229.01,1,1310.0,1,0,0,0,0,0,0,1,4320.0,3010.0,0.0,,,0.4645386666501497,1
west,1,Dormant Judgment,,0,0,1,2492.28,1,613.0,0,1,1,0,1,0,1,1,3371.0,2758.0,104.6667,84.28588466,,0.11637001729340203,1
northeast,1,Dormant Judgment,,0,0,1,1428.31,1,1026.0,1,1,1,0,1,0,1,1,2882.0,1856.0,40.9286,119.8708749,,0.11305068829595816,1
southeast,1,Dormant Judgment,,0,1,1,2516.8,1,1701.0,0,1,1,0,1,0,1,1,4788.0,3087.0,22.1351,175.6894165,,0.050828486609980926,1
northeast,1,Dormant Judgment,,0,1,1,1968.32,1,1405.0,1,1,1,0,0,0,1,1,1460.0,55.0,0.0,,,0.10160949439115591,0
northeast,1,Dormant Judgment,,0,1,1,1147.67,1,1213.0,1,1,1,0,1,0,1,0,5106.0,3893.0,24.8,,,0.235126822170136,1
midwest,1,Dormant Judgment,1384.99,1,0,1,1565.7,1,1910.0,1,1,1,1,0,0,0,1,4513.0,2603.0,0.0,,2.4673102332868826,2.1825381618445423,1
southeast,1,Dormant Judgment,3446.87,1,1,1,1670.91,1,1476.0,1,1,1,0,1,0,0,1,3759.0,2283.0,28.1818,155.3169232,0.04178890097392707,0.08620506735850524,1
northeast,1,Dormant Judgment,10400.12,1,1,1,11581.81,1,440.0,1,1,1,0,0,0,1,0,2215.0,1775.0,526.5,19.08001389,0.03176501809594504,0.028524038988724562,0
northeast,1,Dormant Judgment,1663.59,1,1,1,2482.69,1,729.0,1,1,1,0,1,0,0,1,2751.0,2022.0,70.6667,150.5824866,0.2104034046850486,0.14098618836826182,1
northeast,1,Dormant Judgment,4089.72,1,1,1,5414.64,1,837.0,1,1,1,0,1,0,0,1,2473.0,1636.0,25.7465,156.4957712,0.032386390168520095,0.024461694147718035,0
midwest,1,Dormant Judgment,,0,0,1,1939.12,1,796.0,1,1,1,0,0,0,1,0,1749.0,953.0,45.2535,16.69584039,,0.012805285861627956,0
northeast,1,Dormant Judgment,770.95,1,1,1,1136.47,1,1666.0,1,1,1,0,1,0,0,1,4596.0,2930.0,19.3488,79.25093251,0.06542637670406641,0.04438345501421067,1
northeast,1,Dormant Judgment,1248.33,1,1,1,1690.53,1,1080.0,1,1,1,1,0,0,0,1,3446.0,2366.0,0.0,,0.4806421378962294,0.3549182800660148,1
northeast,1,Dormant Judgment,3303.44,1,1,1,3931.9,1,996.0,1,1,1,0,1,0,1,1,3956.0,2960.0,46.6389,121.0680592,0.05619117244448211,0.04720978832116788,1
northeast,1,Dormant Judgment,3815.34,1,1,1,4074.51,1,710.0,1,1,1,1,0,0,0,1,2942.0,2232.0,28.8649,127.2924313,0.031669665219875555,0.029655232285599985,1
northeast,1,Dormant Judgment,,0,0,1,5281.49,1,1161.0,1,1,1,0,1,0,1,1,2838.0,1677.0,8.8963,183.0318571,,0.01013625173956592,1
southeast,1,Dormant Judgment,3500.72,1,1,1,2091.91,1,1219.0,1,1,1,0,1,0,0,1,4088.0,2869.0,8.5385,,0.07004800769555977,0.11722228083426152,1
west,1,Dormant Judgment,,0,0,1,5211.04,1,730.0,0,1,1,0,1,0,1,1,4010.0,3280.0,17.3333,,,0.21482681211428045,1
northeast,1,Dormant Judgment,,0,0,0,3317.39,1,1267.0,1,0,1,0,0,0,1,0,1427.0,160.0,272.6667,30.21790568,,0.081626419172904,0
southeast,1,Dormant Judgment,1175.76,1,1,1,1277.76,1,539.0,1,0,1,0,0,0,0,1,574.0,35.0,0.0,,0.029767979859835342,0.027391685449536688,0
southwest,1,Dormant Judgment,1195.85,1,1,1,1241.85,1,382.0,1,0,0,0,0,0,0,1,394.0,12.0,27.4,,0.05017351674541122,0.0483150138905665,0
southwest,1,Dormant Judgment,4893.1,1,1,1,4618.1,1,2273.0,1,0,0,0,0,0,0,1,2288.0,15.0,0.0,,0.026216508961598984,0.027777657478183667,0
midwest,1,Dormant Judgment,12895.98,1,0,1,12695.98,1,604.0,1,1,1,0,1,0,1,1,24.0,-580.0,21.3265,204.8351875,0.011134643733938793,0.011310047975815966,0
southwest,1,Dormant Judgment,7279.9,1,1,1,5751.26,1,790.0,1,0,0,0,0,0,1,1,30.0,-760.0,0.0,,0.20998090633113095,0.2657921916240963,0
southwest,1,Dormant Judgment,2973.3,1,1,1,3094.3,1,523.0,1,0,0,0,0,0,1,1,12.0,-511.0,0.0,,0.2181212793865402,0.20959183013928834,0
northeast,1,Dormant Judgment,7813.84,1,1,1,8152.34,1,889.0,1,1,0,1,0,0,1,1,14.0,-875.0,0.0,,0.029757456001146685,0.028521872247722742,0
southwest,1,Dormant Judgment,7629.8,1,1,1,7629.8,1,594.0,1,0,0,0,0,0,1,1,27.0,-567.0,0.0,,0.15459776140921125,0.15459776140921125,0
southwest,1,Dormant Judgment,12464.55,1,1,1,12866.35,1,820.0,1,0,1,0,0,0,1,1,20.0,-800.0,0.0,,0.030622846392368758,0.02966653324369382,0
southwest,1,Dormant Judgment,,0,1,1,4840.51,1,1068.0,1,1,0,0,0,0,0,1,1103.0,35.0,61.3684,61.26522108,,0.025541023342581667,0
west,1,Dormant Judgment,19161.09,1,1,1,19343.91,1,637.0,1,0,1,0,0,0,1,1,12.0,-625.0,0.0,,0.08783425160050916,0.08700412688024294,0
southeast,1,Dormant Judgment,4682.06,1,1,1,6180.94,1,1380.0,0,1,1,1,0,0,1,1,1567.0,187.0,145.7143,50.15491504,0.05129177979350969,0.03885350618190761,0
southwest,1,Dormant Judgment,1365.04,1,1,1,1420.04,1,393.0,1,0,0,0,0,0,0,1,422.0,29.0,40.5556,63.20251366,0.06186224904764696,0.05946624351426721,0
southwest,0,Dormant Judgment,2262.55,1,1,1,2262.55,1,568.0,1,0,0,0,0,0,0,1,581.0,13.0,34.25,99.79344262,0.049722658062805236,0.049722658062805236,0
southwest,1,Dormant Judgment,813.48,1,1,1,906.98,1,1038.0,1,0,0,0,0,0,0,1,1064.0,26.0,29.6,,0.03073216305256429,0.027564003616397274,0
midwest,1,Dormant Judgment,2656.59,1,1,1,4161.18,1,417.0,1,1,1,0,1,0,1,1,6.0,-411.0,19.6957,38.16001122,0.009305325541389525,0.005940727096640857,0
west,1,Dormant Judgment,7540.75,1,0,1,7860.75,1,2022.0,1,1,1,0,0,0,1,1,2698.0,676.0,933.5,163.5249007,0.6654483970427344,0.6383589352161053,0
southwest,1,Dormant Judgment,6725.69,1,1,1,7041.39,1,1078.0,0,1,1,0,0,0,1,1,5.0,-1073.0,0.0,,0.033498421723273004,0.03199652341370099,0
southeast,1,Dormant Judgment,4575.16,1,1,1,4965.16,1,1710.0,1,1,1,0,0,0,1,1,24.0,-1686.0,103.7917,39.63576492,0.02955397553309611,0.027232590027310297,0
southeast,0,Dormant Judgment,5266.16,1,1,1,5678.05,1,1345.0,1,1,1,0,0,0,1,1,15.0,-1330.0,0.0,,0.18668441520956447,0.17314218789901462,0
southwest,1,Dormant Judgment,7083.76,1,1,1,7412.61,1,1321.0,0,1,0,0,0,0,1,1,16.0,-1305.0,0.0,,0.0032835669192632162,0.0031378960986750957,0
west,0,Dormant Judgment,14571.08,1,1,1,15978.21,1,85.0,1,1,1,0,0,0,1,0,4.0,-81.0,0.0,,0.10314884003107526,0.09406497974428926,0
southeast,1,Dormant Judgment,22551.72,1,1,1,22963.9,1,162.0,1,1,1,1,0,0,1,1,18.0,-144.0,73.6667,,0.36600903758116893,0.3594395260822421,0
southwest,1,Dormant Judgment,14551.9,1,1,1,14551.9,1,712.0,1,0,0,0,0,0,1,1,5.0,-707.0,0.0,,0.10126512689064658,0.10126512689064658,0
midwest,1,Dormant Judgment,10434.18,1,1,1,10678.49,1,945.0,1,0,1,0,0,0,0,1,2.0,-943.0,0.0,,0.0949149813401724,0.09274344968249257,0
northeast,1,Dormant Judgment,4116.4,1,1,1,4654.9,1,862.0,1,1,1,0,1,0,1,1,12.0,-850.0,0.0,,0.15125595180254592,0.1337579754667125,0
southwest,1,Dormant Judgment,7379.9,1,1,1,7379.9,1,834.0,1,0,0,0,0,0,1,1,19.0,-815.0,0.0,,0.14590848114473096,0.14590848114473096,0
west,1,Dormant Judgment,15809.84,1,1,1,16256.27,1,1303.0,1,0,1,0,0,0,0,1,11.0,-1292.0,0.0,,9.487762051987876e-05,9.227208947686032e-05,0
southwest,1,Dormant Judgment,9048.95,1,1,1,9048.95,1,865.0,1,0,0,0,0,0,0,0,16.0,-849.0,0.0,,0.10620237707137291,0.10620237707137291,0
west,1,Dormant Judgment,9431.35,1,1,1,9781.35,1,1090.0,1,1,1,0,1,0,1,1,4.0,-1086.0,0.0,,0.10703663844518546,0.1032066125841525,0
northeast,1,Dormant Judgment,6499.94,1,1,1,6800.94,1,856.0,1,1,1,1,0,0,1,1,27.0,-829.0,0.0,,0.12939504056960527,0.12366819880781187,0
southwest,1,Dormant Judgment,8538.68,1,1,1,8538.68,1,170.0,1,1,0,0,0,0,1,0,16.0,-154.0,0.0,,0.05386312638487448,0.05386312638487448,0
southwest,1,Dormant Judgment,13467.8,1,0,1,13769.94,1,731.0,1,1,1,0,0,0,1,0,23.0,-708.0,0.0,,0.15536613255320098,0.1519570891376433,0
midwest,1,Dormant Judgment,10344.92,1,1,1,10692.12,1,1315.0,1,0,1,0,0,0,0,0,2.0,-1313.0,0.0,,0.09588474342962536,0.09277112490319973,0
midwest,0,Dormant Judgment,12184.49,1,0,1,12075.36,1,703.0,1,0,1,0,0,0,0,0,23.0,-680.0,0.0,,0.1518192390489877,0.15319129201945117,0
southwest,1,Dormant Judgment,5852.62,1,1,1,5852.62,1,800.0,1,0,0,0,0,0,1,1,20.0,-780.0,0.0,,0.10700677645225556,0.10700677645225556,0
northeast,1,Dormant Judgment,17639.09,1,1,1,16532.09,1,479.0,1,0,0,0,0,0,0,0,9.0,-470.0,0.0,,0.3837363492107586,0.40943159636803333,0
northeast,1,Dormant Judgment,18146.25,1,1,1,19798.75,1,443.0,1,0,0,0,0,0,0,0,20.0,-423.0,0.0,,0.2783484190948543,0.255116105814761,0
southwest,1,Dormant Judgment,11870.01,1,1,1,11870.01,1,737.0,1,0,0,0,0,0,1,1,5.0,-732.0,0.0,,0.13111025180265223,0.13111025180265223,0
southwest,0,Dormant Judgment,15506.9,1,1,1,10980.22,1,861.0,1,0,0,0,0,0,0,1,31.0,-830.0,0.0,,0.34126292166712885,0.48195118130602127,0
southwest,1,Dormant Judgment,15669.94,1,1,1,15669.94,1,892.0,1,0,0,0,0,0,1,1,1.0,-891.0,0.0,,0.11852119408242788,0.11852119408242788,0
midwest,1,Dormant Judgment,5967.3,1,0,1,6090.3,1,564.0,1,1,1,1,0,0,1,1,18.0,-546.0,136.375,39.41563627,0.029622484205587118,0.02902422704957063,0
southwest,1,Dormant Judgment,18831.7,1,1,1,19319.99,1,642.0,1,1,1,0,1,0,1,1,13.0,-629.0,0.0,,0.06603333740448286,0.06436442254887295,0
southwest,1,Dormant Judgment,11683.87,1,1,1,11683.87,1,534.0,1,0,0,0,0,0,1,1,13.0,-521.0,0.0,,0.06626143563733591,0.06626143563733591,0
southwest,0,Dormant Judgment,17547.0,1,1,1,9061.31,1,795.0,1,0,0,0,0,0,0,1,31.0,-764.0,0.0,,0.529548640793298,1.0254576876853347,0
southwest,1,Dormant Judgment,9249.42,1,1,1,9249.42,1,385.0,1,0,0,0,0,0,1,0,7.0,-378.0,0.0,,0.118926375924112,0.118926375924112,0
southwest,1,Dormant Judgment,10675.44,1,1,1,10675.44,1,659.0,1,0,0,0,0,0,0,1,14.0,-645.0,0.0,,0.08432439318660402,0.08432439318660402,0
southwest,1,Dormant Judgment,8251.38,1,1,1,8251.38,1,682.0,1,0,0,0,0,0,0,0,30.0,-652.0,0.0,,0.24084940943211924,0.24084940943211924,0
southwest,1,Dormant Judgment,18390.5,1,1,1,18390.5,1,569.0,1,0,0,0,0,0,1,1,24.0,-545.0,67.25,66.12890285,0.00795474112721242,0.00795474112721242,0
southwest,1,Dormant Judgment,14625.61,1,1,1,14625.61,1,596.0,1,0,0,0,0,0,1,1,6.0,-590.0,0.0,,0.11951638256455628,0.11951638256455628,0
southwest,1,Dormant Judgment,12494.0,1,1,1,9541.8,1,1302.0,1,0,0,0,0,0,0,0,31.0,-1271.0,0.0,,0.30414599007523613,0.3982477100756671,0
northeast,1,Dormant Judgment,14359.48,1,1,1,14899.48,1,698.0,1,0,1,0,0,0,0,1,14.0,-684.0,316.8889,13.82573787,0.010027831397794349,0.009664393952003693,0
midwest,0,Dormant Judgment,4205.74,1,0,1,4134.43,1,710.0,1,0,1,0,0,0,0,1,29.0,-681.0,0.0,,0.05143209042879494,0.05231918305546351,0
southwest,1,Dormant Judgment,,0,1,1,13999.57,1,833.0,1,1,0,0,0,0,1,1,850.0,17.0,84.9412,93.23095332,,0.018597840126518172,0
midwest,0,Dormant Judgment,13521.87,1,1,1,9642.87,1,1827.0,0,1,1,0,0,0,0,0,1.0,-1826.0,0.0,,0.4724612793940483,0.6625164499780667,0
midwest,1,Dormant Judgment,4039.47,1,0,1,4174.47,1,902.0,0,1,1,0,0,0,0,0,22.0,-880.0,712.3333,68.58475412,0.3975463778664033,0.384689952736515,0
southwest,1,Dormant Judgment,8256.41,1,1,1,8256.41,1,1697.0,1,1,0,0,0,0,0,0,7.0,-1690.0,0.0,,0.01429192590968714,0.01429192590968714,0
southwest,1,Dormant Judgment,10349.23,1,1,1,10349.23,1,401.0,0,1,0,0,0,0,0,0,21.0,-380.0,89.7143,39.42457495,0.01123289227314496,0.01123289227314496,0
southwest,1,Dormant Judgment,15592.43,1,1,1,14682.43,1,68.0,1,0,0,0,0,0,0,0,2.0,-66.0,0.0,,0.07173416843942862,0.07618016908645231,1
southeast,1,Suit,14492.27,1,0,0,,0,,0,1,1,0,1,0,0,0,29.0,,0.0,,0.22063900272352088,,0
